2026-06-04 11:16:42,968 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.list
2026-06-04 11:38:18,853 | INFO | agent.automation | [----------] Registrado en EventBus para evento: automation.run_pipeline
2026-06-04 11:38:18,853 | INFO | agent.automation | [----------] Registrado en EventBus para evento: automation.schedule
2026-06-04 11:38:18,854 | INFO | agent.registry | [----------] Agente iniciado: automation (eventos: ['automation.run_pipeline', 'automation.schedule'])
2026-06-04 11:38:18,854 | INFO | agent.chat | [----------] Registrado en EventBus para evento: chat.respond
2026-06-04 11:38:18,854 | INFO | agent.registry | [----------] Agente iniciado: chat (eventos: ['chat.respond'])
2026-06-04 11:38:18,854 | INFO | agent.registry | [----------] AgentRegistry: 7 agentes registrados
2026-06-04 11:40:39,364 | INFO | agent.chat | [----------] Resultado: <AgentResult agent=chat status=success>
2026-06-04 11:41:25,433 | INFO | agent.chat | [----------] Resultado: <AgentResult agent=chat status=success>
2026-06-04 11:41:34,137 | INFO | agent.chat | [----------] Resultado: <AgentResult agent=chat status=success>
2026-06-04 12:39:52,018 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.create
2026-06-04 12:39:52,019 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.read
2026-06-04 12:39:52,019 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.append
2026-06-04 12:39:52,020 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.list
2026-06-04 12:39:52,020 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.delete
2026-06-04 12:39:52,020 | INFO | agent.registry | [----------] Agente iniciado: filesystem (eventos: ['filesystem.create', 'filesystem.read', 'filesystem.append', 'filesystem.list', 'filesystem.delete'])
2026-06-04 12:39:52,020 | INFO | agent.system | [----------] Registrado en EventBus para evento: system.info
2026-06-04 12:39:52,020 | INFO | agent.system | [----------] Registrado en EventBus para evento: system.command
2026-06-04 12:39:52,020 | INFO | agent.system | [----------] Registrado en EventBus para evento: system.open_app
2026-06-04 12:39:52,021 | INFO | agent.registry | [----------] Agente iniciado: system (eventos: ['system.info', 'system.command', 'system.open_app'])
2026-06-04 12:39:52,021 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.navigate
2026-06-04 12:39:52,021 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.click
2026-06-04 12:39:52,021 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.fill
2026-06-04 12:39:52,021 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.submit
2026-06-04 12:39:52,021 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.screenshot
2026-06-04 12:39:52,022 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.get_text
2026-06-04 12:39:52,022 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.get_html
2026-06-04 12:39:52,022 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.wait_for
2026-06-04 12:39:52,022 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.scroll
2026-06-04 12:39:52,022 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.evaluate
2026-06-04 12:39:52,022 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.close
2026-06-04 12:39:52,022 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.search
2026-06-04 12:39:52,023 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.open
2026-06-04 12:39:52,023 | INFO | agent.registry | [----------] Agente iniciado: browser (eventos: ['browser.navigate', 'browser.click', 'browser.fill', 'browser.submit', 'browser.screenshot', 'browser.get_text', 'browser.get_html', 'browser.wait_for', 'browser.scroll', 'browser.evaluate', 'browser.close', 'browser.search', 'browser.open'])
2026-06-04 12:39:52,023 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.screenshot
2026-06-04 12:39:52,023 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.mouse_move
